slide_id,case_id,file_id,sample_type_code,tissue_slide_id,filename,file_size
TCGA-CN-6023-01Z-00-DX1,TCGA-CN-6023,d48c4946-dc94-4c2b-86e3-938faa118a77,01Z,DX1,TCGA-CN-6023-01Z-00-DX1.abfbc2c7-109b-4b72-8645-8e4135d00306.svs,594588397
TCGA-CN-6024-01Z-00-DX1,TCGA-CN-6024,15466f3b-90a6-4763-b916-c1118b3e248c,01Z,DX1,TCGA-CN-6024-01Z-00-DX1.c5791a72-1ded-4723-a33a-68da0685c80b.svs,166924665
TCGA-CN-6988-01Z-00-DX1,TCGA-CN-6988,840dc806-0ecb-44c0-88d6-cd81ceafe67d,01Z,DX1,TCGA-CN-6988-01Z-00-DX1.1fc4c572-3495-4f5a-9f1a-60c04096d188.svs,209263839
TCGA-CN-6989-01Z-00-DX1,TCGA-CN-6989,51934ad8-0fe3-4388-907f-e6f20c4e408e,01Z,DX1,TCGA-CN-6989-01Z-00-DX1.dd68e391-1d00-4bfc-9be9-ff5024bea237.svs,284721039
TCGA-CN-6992-01Z-00-DX1,TCGA-CN-6992,9454f35c-785d-4ffb-9c00-efaf2365f32d,01Z,DX1,TCGA-CN-6992-01Z-00-DX1.75827758-ac91-4532-8271-8b1a3d42843b.svs,252749831
TCGA-CN-6994-01Z-00-DX1,TCGA-CN-6994,a11630b5-166e-462c-a5c0-26df6d87e991,01Z,DX1,TCGA-CN-6994-01Z-00-DX1.0aa71a4c-25e5-417d-86cf-ce2756e3dd8a.svs,345055221
TCGA-CN-6996-01Z-00-DX1,TCGA-CN-6996,60490ff3-1c05-4c03-ac67-623d35aeeed9,01Z,DX1,TCGA-CN-6996-01Z-00-DX1.b3a1162b-9adb-4fb2-b472-5b9781b9364d.svs,214811201
TCGA-CN-6997-01Z-00-DX1,TCGA-CN-6997,377a537c-a187-43b9-9e1a-642a48d11883,01Z,DX1,TCGA-CN-6997-01Z-00-DX1.7c1686d4-7c15-4332-b962-b36b499dee85.svs,185904715
TCGA-CN-6998-01Z-00-DX1,TCGA-CN-6998,a088bb7b-5b92-49d9-a7a2-c37f5cefba5b,01Z,DX1,TCGA-CN-6998-01Z-00-DX1.5780b8b9-0a1f-4330-889c-b345b29396b2.svs,189985699
TCGA-CN-A63T-01Z-00-DX1,TCGA-CN-A63T,9ecf6f4d-098b-4153-8f3b-7c16ed007428,01Z,DX1,TCGA-CN-A63T-01Z-00-DX1.6AF3A8E6-373B-4D7C-AEDC-CFFC3D6E0FE8.svs,227335759
TCGA-CN-A63U-01Z-00-DX1,TCGA-CN-A63U,0c22fc48-efd4-4635-8ef9-639dc997f59c,01Z,DX1,TCGA-CN-A63U-01Z-00-DX1.90319992-2286-4136-8730-CD905A7F6CD4.svs,222318685
